"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"285","Kyler Murray","202012260crd","ARI","31","50","247","0","1","3","17","45","66.0","8","75","0","30","0","0","0","0","0","0","0","9","17.0","406","8.1","151","4.9","3.0","96","3.1","3","6.5%","6","13.0%","18","1","2","6","10.3%","5","7.8","4","64","8.0","11","1.4","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Larry Fitzgerald","202012260crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","8","6","28","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","16","2.7","12","2.0","5.0","0","","0","0.0","0","79.2"
"287","Richie James","202012260crd","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","4.0","0","","1","100.0","0","39.6"
"288","Seth Devalve","202012260crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","35.0","0","","0","0.0","0","39.6"
"289","Tevin Coleman","202012260crd","SFO","0","0","0","0","0","0","0","0","","2","3","0","3","1","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1","0.5","2","1.0","0","","","-7","-7.0","7","7.0","-7.0","0","","0","0.0","0","79.2"
"290","Cam Akers","202101030ram","LAR","0","0","0","0","0","0","0","0","","21","34","0","10","4","4","52","0","38","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","0.7","20","1.0","0","","1","27","6.8","25","6.3","6.8","0","","0","0.0","0","118.7"
"291","Chase Edmonds","202101030ram","ARI","0","0","0","0","0","0","0","0","","3","-3","0","3","2","2","28","0","19","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-5","-1.7","2","0.7","0","","","0","0.0","28","14.0","0.0","0","","0","0.0","0","118.7"
"292","Chris Streveler","202101030ram","ARI","11","16","105","1","1","2","10","19","81.5","3","12","0","12","0","0","0","0","0","1","0","5","27.8","106","6.6","7","0.6","0.4","98","8.9","0","0.0%","2","12.5%","4","0","2","4","22.2%","0","","1","8","2.7","4","1.3","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Dan Arnold","202101030ram","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","3","46","0","25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","29","9.7","17","5.7","9.7","0","","0","0.0","0","118.7"
"294","DeAndre Hopkins","202101030ram","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","10","4","35","0","16","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","10","2.5","25","6.3","11.6","0","","0","0.0","0","50.0"
