"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"1","Chase Edmonds","202009130sfo","ARI","0","0","0","0","0","0","0","0","","6","26","0","20","5","3","19","1","10","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","20","3.3","6","1.0","1","6.0","1","5","1.7","14","4.7","0.4","0","","0","0.0","0","107.5"
"2","Chris Streveler","202009130sfo","ARI","0","0","0","0","0","0","0","0","","1","3","0","3","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","3","3.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Christian Kirk","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","5","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-3","-3.0","3","3.0","14.0","0","","0","0.0","0","39.6"
"4","Dan Arnold","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","21","0","13","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","3.0","15","7.5","3.0","0","","0","0.0","0","110.4"
"5","Dante Pettis","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","34.0","0","","0","0.0","0","39.6"
"6","DeAndre Hopkins","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","16","14","151","0","33","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","84","6.0","67","4.8","6.4","1","14.0","0","0.0","0","106.0"
"7","George Kittle","202009130sfo","SFO","0","0","0","0","0","0","0","0","","1","9","0","9","5","4","44","0","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","9","9.0","0","","1","28","7.0","16","4.0","5.2","0","","0","0.0","0","103.3"
"8","Jerick McKinnon","202009130sfo","SFO","0","0","0","0","0","0","0","0","","3","24","0","16","5","3","20","1","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","10","3.3","14","4.7","1","3.0","2","3","1.0","17","5.7","5.8","0","","1","20.0","0","108.3"
"9","Jimmy Garoppolo","202009130sfo","SFO","19","33","259","2","0","3","16","76","103.0","1","9","0","9","0","0","0","0","0","0","0","10","27.8","220","6.7","98","5.2","3.0","161","8.5","2","6.1%","11","33.3%","10","1","3","7","18.9%","1","9.0","0","9","9.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jordan Reed","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","12","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","2.5","7","3.5","2.5","0","","0","0.0","0","91.7"
"11","Kendrick Bourne","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","5","2","34","0","18","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","17","8.5","17","8.5","11.6","0","","0","0.0","0","63.7"
"12","Kenyan Drake","202009130sfo","ARI","0","0","0","0","0","0","0","0","","16","60","1","11","2","2","5","0","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","28","1.8","32","2.0","1","16.0","0","-6","-3.0","11","5.5","-3.0","0","","0","0.0","0","79.2"
"13","Kyle Juszczyk","202009130sfo","SFO","0","0","0","0","0","0","0","0","","1","7","0","7","2","1","41","0","41","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","7","7.0","0","","1","18","18.0","23","23.0","10.0","0","","1","50.0","0","95.8"
"14","Kyler Murray","202009130sfo","ARI","26","40","230","1","1","2","6","33","78.1","13","91","1","25","0","0","0","0","0","0","0","12","28.6","192","4.8","97","3.7","2.4","133","5.1","0","0.0%","7","18.9%","12","4","1","7","14.0%","8","11.4","4","91","7.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Larry Fitzgerald","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","5","4","34","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","2.8","23","5.8","3.0","0","","0","0.0","0","95.0"
"16","Maxx Williams","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","1.0","0","","0","0.0","1","0.0"
"17","Raheem Mostert","202009130sfo","SFO","0","0","0","0","0","0","0","0","","15","56","0","14","5","4","95","1","76","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","39","2.6","17","1.1","0","","3","14","3.5","81","20.3","2.8","0","","0","0.0","0","158.3"
"18","Tevin Coleman","202009130sfo","SFO","0","0","0","0","0","0","0","0","","4","18","0","10","2","1","6","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9","2.3","9","2.3","1","4.0","0","6","6.0","0","0.0","3.0","0","","0","0.0","0","56.2"
"19","Trent Taylor","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","5","2","7","0","5","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","7","3.5","0","0.0","6.6","0","","0","0.0","0","47.9"
"20","Andy Isabella","202009200crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","67","0","54","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","58","29.0","9","4.5","23.0","0","","0","0.0","1","70.1"
"21","Antonio Gandy-Golden","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","3","0","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2","2.0","1","1.0","2.0","0","","0","0.0","0","79.2"
"22","Antonio Gibson","202009200crd","WAS","0","0","0","0","0","0","0","0","","13","55","1","11","2","1","-3","0","-3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","19","1.5","36","2.8","8","1.6","0","-4","-4.0","1","1.0","4.5","0","","0","0.0","0","56.2"
"23","Chase Edmonds","202009200crd","ARI","0","0","0","0","0","0","0","0","","3","4","0","5","4","3","9","0","9","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-2","-0.7","6","2.0","0","","0","-6","-2.0","15","5.0","5.3","0","","0","0.0","0","77.1"
"24","Christian Kirk","202009200crd","ARI","0","0","0","0","0","0","0","0","","1","3","0","3","4","2","57","0","49","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","1","1.0","0","","1","57","28.5","0","0.0","27.8","0","","0","0.0","0","95.8"
"25","Dan Arnold","202009200crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","4","2","26","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14","7.0","12","6.0","13.5","0","","0","0.0","0","70.8"
"26","Darrell Daniels","202009200crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","12.0","0","","0","0.0","0","39.6"
"27","DeAndre Hopkins","202009200crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","9","8","68","1","25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","28","3.5","40","5.0","4.1","3","2.7","1","11.1","0","135.2"
"28","Dontrelle Inman","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","5","2","17","0","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14","7.0","3","1.5","7.4","0","","1","20.0","0","49.6"
"29","Dwayne Haskins","202009200crd","WAS","19","33","223","1","0","4","24","30","88.3","1","8","0","8","0","0","0","0","0","1","1","10","27.0","283","8.6","89","4.7","2.7","134","7.1","3","9.1%","8","24.2%","12","2","5","11","28.9%","1","8.0","0","7","7.0","1","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","J.D. McKissic","202009200crd","WAS","0","0","0","0","0","0","0","0","","8","53","0","13","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","33","4.1","20","2.5","3","2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Kenyan Drake","202009200crd","ARI","0","0","0","0","0","0","0","0","","20","86","0","16","2","2","9","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","54","2.7","32","1.6","1","20.0","0","-10","-5.0","19","9.5","-5.0","0","","0","0.0","0","85.4"
"32","Kyler Murray","202009200crd","ARI","26","38","286","1","1","3","8","54","88.3","8","67","2","21","0","0","0","0","0","0","0","13","31.7","352","9.3","168","6.5","4.4","118","4.5","1","2.9%","5","14.7%","7","7","0","10","23.3%","2","4.0","3","64","8.0","3","0.4","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Larry Fitzgerald","202009200crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","7","7","50","0","12","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","25","3.6","25","3.6","3.6","0","","0","0.0","0","96.4"
"34","Logan Thomas","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","9","4","26","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","13","3.3","13","3.3","6.9","0","","1","11.1","0","51.6"
"35","Marcus Baugh","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","2","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","2","2.0","0.0","0","","0","0.0","0","79.2"
"36","Peyton Barber","202009200crd","WAS","0","0","0","0","0","0","0","0","","1","1","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","1","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Steven Sims","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","5","3","53","0","30","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","22","7.3","31","10.3","12.6","0","","0","0.0","0","96.2"
"38","Terry McLaurin","202009200crd","WAS","0","0","0","0","0","0","0","0","","0","0","0","0","10","7","125","1","26","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","42","6.0","83","11.9","11.0","3","2.3","1","10.0","0","145.8"
"39","Adrian Peterson","202009270crd","DET","0","0","0","0","0","0","0","0","","22","75","0","27","1","1","10","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","46","2.1","29","1.3","1","22.0","1","-3","-3.0","13","13.0","-3.0","0","","0","0.0","0","108.3"
"40","Andy Isabella","202009270crd","ARI","0","0","0","0","0","0","0","0","","1","-6","0","-6","4","4","47","2","26","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","-6","-6.0","0","0.0","0","","3","40","10.0","7","1.8","10.0","0","","0","0.0","0","155.2"
"41","Chase Edmonds","202009270crd","ARI","0","0","0","0","0","0","0","0","","3","13","0","5","2","2","21","0","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","13","4.3","0","0.0","0","","2","4","2.0","17","8.5","2.0","0","","0","0.0","0","110.4"
"42","D'Andre Swift","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","19","0","19","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-2","-2.0","21","21.0","-1.0","0","","1","50.0","0","83.3"
"43","Dan Arnold","202009270crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","1","11","0","11","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9","9.0","2","2.0","14.0","0","","0","0.0","1","27.1"
"44","Danny Amendola","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","4","1","18","0","18","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","16","16.0","9.3","1","1.0","0","0.0","0","45.8"
"45","Darrell Daniels","202009270crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","24","0","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","2.0","20","10.0","2.0","1","2.0","0","0.0","0","116.7"
"46","DeAndre Hopkins","202009270crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","12","10","137","0","30","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","77","7.7","60","6.0","8.6","4","2.5","0","0.0","1","79.5"
"47","Jamal Agnew","202009270crd","DET","0","0","0","0","0","0","0","0","","1","2","0","2","2","2","20","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","2","2.0","0","0.0","0","","1","-5","-2.5","25","12.5","-2.5","0","","0","0.0","0","108.3"
"48","Jesse James","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","4","3","28","1","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","9","3.0","19","6.3","3.8","0","","0","0.0","0","133.3"
"49","KeeSean Johnson","202009270crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","7","2","24","0","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","15","7.5","9","4.5","16.0","0","","1","14.3","0","41.4"
"50","Kenny Golladay","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","7","6","57","1","19","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","48","8.0","9","1.5","10.9","0","","0","0.0","0","140.2"
"51","Kenyan Drake","202009270crd","ARI","0","0","0","0","0","0","0","0","","18","73","0","15","1","1","6","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","67","3.7","6","0.3","2","9.0","0","2","2.0","4","4.0","2.0","1","1.0","0","0.0","0","91.7"
"52","Kerryon Johnson","202009270crd","DET","0","0","0","0","0","0","0","0","","3","16","0","9","1","1","14","0","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","3.3","6","2.0","1","3.0","0","0","0.0","14","14.0","0.0","0","","0","0.0","0","118.7"
"53","Kyler Murray","202009270crd","ARI","23","35","270","2","3","1","2","30","72.3","5","29","1","13","0","0","0","0","0","0","0","16","44.4","332","9.5","151","6.6","4.3","119","5.2","1","3.0%","3","9.1%","9","1","1","3","8.1%","1","7.0","3","24","4.8","5","1.0","1","5.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Larry Fitzgerald","202009270crd","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","0.0","0","0.0","7.0","0","","0","0.0","1","2.8"
"55","Marvin Jones","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","3","3","51","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","35","11.7","16","5.3","11.7","1","3.0","0","0.0","0","118.7"
"56","Matthew Stafford","202009270crd","DET","22","31","270","2","0","4","38","27","119.0","1","-3","0","-3","0","0","0","0","0","0","0","16","45.7","220","7.1","119","5.4","3.8","151","6.9","2","6.5%","6","19.4%","15","0","2","6","17.1%","0","","0","-3","-3.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","T.J. Hockenson","202009270crd","DET","0","0","0","0","0","0","0","0","","0","0","0","0","7","4","53","0","27","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","35","8.8","18","4.5","9.6","0","","1","14.3","0","81.2"
"58","Alex Armah","202010040car","CAR","0","0","0","0","0","0","0","0","","1","2","0","2","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Andy Isabella","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","3","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-9","-4.5","12","6.0","8.0","0","","0","0.0","0","70.1"
"60","Chase Edmonds","202010040car","ARI","0","0","0","0","0","0","0","0","","4","16","0","9","6","5","24","1","12","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","10","2.5","6","1.5","0","","3","9","1.8","15","3.0","2.0","1","5.0","1","16.7","0","122.9"
"61","Chris Manhertz","202010040car","CAR","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","17","0","17","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","3.0","14","14.0","3.0","1","1.0","0","0.0","0","118.7"
"62","Christian Kirk","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","5","3","19","1","8","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","15","5.0","4","1.3","10.4","0","","0","0.0","0","107.5"
"63","Curtis Samuel","202010040car","CAR","0","0","0","0","0","0","0","0","","2","-3","0","1","4","3","51","0","24","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","-4","-2.0","1","0.5","0","","3","30","10.0","21","7.0","7.0","1","3.0","0","0.0","0","116.7"
"64","D.J. Moore","202010040car","CAR","0","0","0","0","0","0","0","0","","0","0","0","0","6","4","49","0","23","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","34","8.5","15","3.8","8.8","0","","1","16.7","0","91.7"
"65","Dan Arnold","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","4","4","39","0","25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","26","6.5","13","3.3","6.5","0","","0","0.0","0","107.3"
"66","DeAndre Hopkins","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","9","7","41","0","13","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","24","3.4","17","2.4","7.7","1","7.0","0","0.0","0","85.6"
"67","Ian Thomas","202010040car","CAR","0","0","0","0","0","0","0","0","","0","0","0","0","5","2","5","1","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","1.5","2","1.0","7.6","0","","0","0.0","1","47.9"
"68","Jordan Thomas","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","3","1","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3.0","0","0.0","3.0","0","","0","0.0","0","118.7"
"69","Kenyan Drake","202010040car","ARI","0","0","0","0","0","0","0","0","","13","35","0","9","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","20","1.5","15","1.2","2","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Kyler Murray","202010040car","ARI","24","31","133","3","0","1","0","25","116.7","6","78","0","48","0","0","0","0","0","1","1","11","34.4","213","6.9","70","2.9","2.3","63","2.6","1","3.2%","4","12.9%","7","3","3","7","20.0%","3","20.0","3","72","12.0","6","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Larry Fitzgerald","202010040car","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","4","0","6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2","1.0","2","1.0","9.0","0","","0","0.0","0","70.1"
"72","Mike Davis","202010040car","CAR","0","0","0","0","0","0","0","0","","16","84","1","21","6","5","27","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","13","0.8","71","4.4","3","5.3","2","-14","-2.8","41","8.2","-0.8","4","1.3","0","0.0","0","85.4"
"73","Reggie Bonnafon","202010040car","CAR","0","0","0","0","0","0","0","0","","10","53","0","22","2","2","18","1","15","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","36","3.6","17","1.7","0","","2","-2","-1.0","20","10.0","-1.0","0","","0","0.0","0","143.7"
"74","Robby Anderson","202010040car","CAR","0","0","0","0","0","0","0","0","","0","0","0","0","11","8","99","0","24","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","40","5.0","59","7.4","9.9","1","8.0","1","9.1","0","100.2"
"75","Seth Roberts","202010040car","CAR","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","10","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9","9.0","1","1.0","9.0","0","","0","0.0","0","108.3"
"76","Teddy Bridgewater","202010040car","CAR","26","37","276","2","1","0","0","24","98.5","6","32","1","18","0","0","0","0","0","0","0","17","45.9","228","6.2","103","4.0","2.8","173","6.7","2","5.6%","5","13.9%","20","1","3","4","10.0%","3","11.7","2","21","3.5","11","1.8","1","6.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Andy Isabella","202010110nyj","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","30","0","24","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","18","9.0","12","6.0","10.3","0","","1","33.3","0","99.3"
