"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat","fanPts"
"432","Latavius Murray","202109130rai","BAL","0","0",0,0,0,"0","0","0","","10",28,1,"8","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","0.4","24","2.4","1","10.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8
"433","Marcus Mariota","202109130rai","LVR","0","0",0,0,0,"0","0","0","","1",31,0,"31","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","28","28.0","3","3.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1
"434","Mark Andrews","202109130rai","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",3,20,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","6.3","1","0.3","7.6","0","","0","0.0","0","68.7",5
"435","Marquise Brown","202109130rai","BAL","0","0",0,0,0,"0","0","0","","1",5,0,"5","6",6,69,1,"29","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","3","3.0","0","","4","48","8.0","21","3.5","8.0","0","","0","0.0","0","154.2",19.4
"436","Patrick Ricard","202109130rai","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,15,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9","4.5","6","3.0","3.3","0","","0","0.0","0","78.5",3.5
"437","Sammy Watkins","202109130rai","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",4,96,0,"49","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","63","15.8","33","8.3","11.3","0","","2","25.0","0","93.7",13.6
"438","Trenton Cannon","202109130rai","BAL","0","0",0,0,0,"0","0","0","","2",5,0,"3","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","1.5","2","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"439","Ty'Son Williams","202109130rai","BAL","0","0",0,0,0,"0","0","0","","9",65,1,"35","4",3,29,0,"21","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","1.6","51","5.7","0","","1","-2","-0.7","31","10.3","0.0","0","","0","0.0","0","94.8",18.4
"440","Willie Snead","202109130rai","LVR","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","5.0","0","","0","0.0","1","0.0",0
"441","Zay Jones","202109130rai","LVR","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,46,1,"31","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","41","20.5","5","2.5","20.5","0","","0","0.0","0","158.3",12.6
"442","Blake Bell","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,20,0,"20","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-3","-3.0","23","23.0","-3.0","0","","0","0.0","0","118.7",3
"443","Byron Pringle","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,63,1,"40","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","22","11.0","41","20.5","11.0","1","2.0","0","0.0","0","158.3",14.3
"444","Clyde Edwards-Helaire","202109190rav","KAN","0","0",0,0,0,"0","0","0","","13",46,0,"9","0",0,0,0,"0","1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","35","2.7","11","0.8","1","13.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
"445","Darrel Williams","202109190rav","KAN","0","0",0,0,0,"0","0","0","","3",-2,1,"2","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-4","-1.3","2","0.7","1","3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
"446","Demarcus Robinson","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,46,1,"33","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","42","14.0","4","1.3","13.8","0","","0","0.0","0","152.1",13.6
"447","Devonta Freeman","202109190rav","BAL","0","0",0,0,0,"0","0","0","","2",29,0,"31","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","27","13.5","2","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"448","Jerick McKinnon","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,14,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","12","12.0","2.0","0","","0","0.0","0","118.7",2.4
"449","Joe Fortson","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,11,0,"11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","7","7.0","4","4.0","7.0","0","","0","0.0","0","112.5",2.1
"450","Josh Oliver","202109190rav","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,9,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5.0","4","4.0","5.0","0","","0","0.0","0","104.2",1.9
"451","Lamar Jackson","202109190rav","BAL","18","26",239,1,2,"1","9","42","78.8","16",107,2,"21","0",0,0,0,"0","0",0,"11","40.7","249","9.6","120","6.7","4.6","119","6.6","1",4,"5",20,"12","1","0","2",7.1,"1","20.0","8","66","4.1","41","2.6","3","5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26
"452","Latavius Murray","202109190rav","BAL","0","0",0,0,0,"0","0","0","","9",36,1,"8","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","21","2.3","15","1.7","1","9.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6
"453","Mark Andrews","202109190rav","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",5,57,0,"20","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","30","6.0","27","5.4","6.0","0","","0","0.0","0","114.2",10.7
"454","Marquise Brown","202109190rav","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","10",6,113,1,"42","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","52","8.7","61","10.2","14.2","1","6.0","0","0.0","1","92.9",23.3
"455","Mecole Hardman","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",5,55,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","41","8.2","14","2.8","16.5","1","5.0","0","0.0","0","82.8",10.5
"456","Michael Burton","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,11,0,"11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-2","-2.0","13","13.0","-2.0","0","","0","0.0","0","112.5",2.1
"457","Patrick Mahomes","202109190rav","KAN","24","31",343,3,1,"0","0","46","131.5","1",3,0,"3","0",0,0,0,"0","0",0,"18","58.1","245","7.9","132","5.5","4.3","211","8.8","0",0,"4",12.9,"4","5","2","7",21.9,"1","3.0","0","1","1.0","2","2.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02
"458","Patrick Ricard","202109190rav","BAL","0","0",0,0,0,"0","0","0","","1",2,0,"2","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1.0","1","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"459","Sammy Watkins","202109190rav","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",4,44,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","30","7.5","14","3.5","9.9","0","","1","14.3","1","36.3",8.4
"460","Travis Kelce","202109190rav","KAN","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",7,109,1,"46","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","22","3.1","87","12.4","3.6","1","7.0","0","0.0","1","118.7",23.9
"461","Ty'Son Williams","202109190rav","BAL","0","0",0,0,0,"0","0","0","","13",77,0,"20","2",2,16,0,"9","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","57","4.4","20","1.5","1","13.0","1","3","1.5","13","6.5","1.5","0","","0","0.0","0","100.0",11.3
"462","Tyreek Hill","202109190rav","KAN","0","0",0,0,0,"0","0","0","","1",15,0,"15","4",3,14,0,"7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","15","15.0","0","0.0","0","","1","1","0.3","13","4.3","4.3","1","3.0","0","0.0","0","79.2",5.9
"463","Amon-Ra St. Brown","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,2,0,"2","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-4","-4.0","6","6.0","-4.0","0","","0","0.0","0","79.2",1.2
"464","D'Andre Swift","202109260det","DET","0","1",0,0,0,"0","0","0","39.6","14",47,1,"14","7",7,60,0,"19","0",0,"0","0.0","-12","-12.0","0","","0.0","0","","0",0,"0",0,"0","0","0","0",0,"0","","4","38","2.7","9","0.6","1","14.0","4","-13","-1.9","73","10.4","-1.9","1","7.0","0","0.0","0","102.4",23.7
"465","Darren Fells","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,35,0,"24","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","7.0","21","10.5","7.3","0","","0","0.0","0","106.2",5.5
"466","Devin Duvernay","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",2,22,1,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","21","10.5","1","0.5","11.3","0","","0","0.0","0","127.8",10.2
"467","Devonta Freeman","202109260det","BAL","0","0",0,0,0,"0","0","0","","3",8,0,"5","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","1.3","4","1.3","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"468","Jamaal Williams","202109260det","DET","0","0",0,0,0,"0","0","0","","12",42,1,"14","2",2,25,0,"15","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","36","3.0","6","0.5","0","","2","-3","-1.5","28","14.0","-1.5","0","","0","0.0","0","118.7",14.7
"469","James Proche","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,29,0,"29","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","29","29.0","0","0.0","29.0","0","","0","0.0","0","118.7",3.9
"470","Jared Goff","202109260det","DET","22","30",217,0,0,"2","25","24","93.3","1",4,0,"4","0",0,0,0,"0","0",0,"13","40.6","144","4.8","50","2.3","1.7","167","7.6","1",3.6,"3",10.7,"13","3","4","9",27.3,"1","4.0","0","4","4.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08
"471","Josh Oliver","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,6,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","4.0","2","2.0","4.0","0","","0","0.0","0","91.7",1.6
"472","Kalif Raymond","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","10",6,68,0,"22","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","35","5.8","33","5.5","10.9","0","","0","0.0","0","80.4",12.8
"473","KhaDarel Hodge","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,9,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9","9.0","0","0.0","9.0","0","","0","0.0","0","104.2",1.9
"474","Lamar Jackson","202109260det","BAL","16","31",287,1,1,"4","16","41","81.0","7",58,0,"31","0",0,0,0,"0","1",0,"10","28.6","514","16.6","226","14.1","7.3","61","3.8","2",7.4,"2",7.4,"5","5","2","11",27.5,"5","10.4","1","55","7.9","3","0.4","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.28
"475","Latavius Murray","202109260det","BAL","0","0",0,0,0,"0","0","0","","7",28,0,"8","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","26","3.7","2","0.3","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
"476","Mark Andrews","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",5,109,0,"41","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","75","15.0","34","6.8","15.3","0","","0","0.0","0","113.7",15.9
"477","Marquise Brown","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",3,53,0,"37","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","40","13.3","13","4.3","23.0","0","","2","28.6","1","29.8",8.3
"478","Quintez Cephus","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,8,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","4.0","4","4.0","4.0","0","","0","0.0","0","100.0",1.8
"479","Sammy Watkins","202109260det","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",4,68,0,"36","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","57","14.3","11","2.8","20.3","0","","0","0.0","0","90.2",10.8
"480","T.J. Hockenson","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,10,0,"5","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","8","4.0","2","1.0","4.0","0","","0","0.0","0","87.5",3
"481","Trinity Benson","202109260det","DET","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","-2.0","0","","1","100.0","0","39.6",0
"482","Ty'Son Williams","202109260det","BAL","0","0",0,0,0,"0","0","0","","5",22,0,"12","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","16","3.2","6","1.2","0","","0","0","","0","","18.0","0","","0","0.0","0","39.6",2.2
"483","Albert Okwuegbunam","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",1,11,0,"11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","8.0","3","3.0","21.0","0","","0","0.0","0","66.7",2.1
"484","Courtland Sutton","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",3,47,0,"32","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","31","10.3","16","5.3","19.8","0","","0","0.0","1","18.2",7.7
"485","Devin Duvernay","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,31,0,"17","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","18","6.0","13","4.3","12.7","0","","0","0.0","0","65.3",6.1
"486","Devonta Freeman","202110030den","BAL","0","0",0,0,0,"0","0","0","","1",4,0,"4","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","4.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"487","Diontae Spencer","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","0.0","0","","0","0.0","0","39.6",0
"488","Drew Lock","202110030den","DEN","12","21",113,0,1,"3","15","32","52.3","0",0,0,"0","0",0,0,0,"0","0",0,"4","16.7","207","9.9","60","5.0","2.9","53","4.4","1",4.8,"6",28.6,"8","5","4","12",50,"0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52
"489","James Proche","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,74,0,"32","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","35","7.0","39","7.8","8.0","0","","0","0.0","0","118.1",12.4
"490","Javonte Williams","202110030den","DEN","0","0",0,0,0,"0","0","0","","7",48,0,"31","3",3,11,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","8","1.1","40","5.7","4","1.8","0","5","1.7","6","2.0","1.7","0","","0","0.0","0","81.9",8.9
"491","Josh Oliver","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","19.0","0","","0","0.0","0","39.6",0
"492","Kendall Hinton","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",1,13,0,"13","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","4.0","9","9.0","8.7","0","","1","33.3","0","47.9",2.3
"493","Lamar Jackson","202110030den","BAL","22","37",316,1,0,"3","12","49","96.2","7",28,0,"7","0",0,0,0,"0","0",0,"14","35.0","420","11.4","219","10.0","5.9","97","4.4","1",2.9,"7",20,"27","7","4","14",33.3,"2","4.5","2","25","3.6","3","0.4","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44
"494","Latavius Murray","202110030den","BAL","0","0",0,0,0,"0","0","0","","18",59,1,"11","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","37","2.1","22","1.2","1","18.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9
"495","Le'Veon Bell","202110030den","BAL","0","0",0,0,0,"0","0","0","","4",11,0,"4","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10","2.5","1","0.3","0","","","0","","0","","-2.0","0","","0","0.0","0","39.6",1.1
"496","Mark Andrews","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",5,67,0,"24","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","60","12.0","7","1.4","8.6","0","","0","0.0","0","89.1",11.7
"497","Marquise Brown","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",4,91,1,"49","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","64","16.0","27","6.8","19.2","0","","0","0.0","0","158.3",19.1
"498","Melvin Gordon","202110030den","DEN","0","0",0,0,0,"0","0","0","","9",56,0,"14","4",2,11,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","30","3.3","26","2.9","4","2.3","0","-4","-2.0","15","7.5","-0.8","2","1.0","0","0.0","0","56.2",8.7
"499","Noah Fant","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","10",6,46,1,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","23","3.8","23","3.8","6.3","0","","0","0.0","0","104.6",16.6
"500","Patrick Ricard","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,4,0,"4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4","4.0","0","0.0","4.0","0","","0","0.0","0","83.3",1.4
"501","Sammy Watkins","202110030den","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",4,49,0,"20","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","38","9.5","11","2.8","13.7","0","","1","14.3","0","78.9",8.9
"502","Teddy Bridgewater","202110030den","DEN","7","16",65,1,0,"2","15","19","76.3","1",2,0,"2","0",0,0,0,"0","0",0,"5","27.8","158","9.9","29","4.1","1.8","36","5.1","0",0,"7",43.8,"9","5","3","10",52.6,"1","2.0","0","2","2.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"503","Tim Patrick","202110030den","DEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,39,0,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","22","7.3","17","5.7","12.3","0","","0","0.0","0","70.8",6.9
"504","Ashton Dulin","202110110rav","IND","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",2,13,0,"15","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10","5.0","3","1.5","5.0","0","","0","0.0","0","93.7",3.3
"505","Carson Wentz","202110110rav","IND","25","35",402,2,0,"2","12","76","128.5","2",5,0,"4","0",0,0,0,"0","1",1,"16","43.2","204","5.8","177","7.1","5.1","225","9.0","1",2.9,"5",14.7,"13","1","5","8",21.1,"1","4.0","0","2","1.0","3","1.5","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58
"506","Devin Duvernay","202110110rav","BAL","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",4,45,0,"17","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","26","6.5","19","4.8","6.5","0","","0","0.0","0","113.5",8.5
